-62.428449 1.810923 
-49.607169 0.685068 
-49.607169 0.685068 
-49.607169 0.001005 
-49.607169 0.001005 
-49.607169 0.001167 
-49.607169 0.000913 
-62.428449 0.001137 
-62.428449 0.000856 
-62.428449 0.000862 
-62.428449 0.000862 
-62.428449 0.000862 
-62.428449 0.000862 
-62.428449 0.011332 
-62.428449 0.001025 
-62.428449 0.001687 
-62.428449 0.001670 
-62.428449 0.001670 
-62.428449 0.001670 0.004522
-62.428449 0.001453 0.002514
-62.428449 0.000951 0.003368
-62.428449 0.001428 0.004103
-62.428449 0.009325 0.032044
-62.428449 0.009325 0.032044
-62.428449 0.001233 0.002142
-62.428449 0.000981 0.002806
-62.428449 0.001520 0.003744
-62.428449 0.009983 0.031516
-62.428449 0.009983 0.031516 0.351400
-62.428449 0.001520 0.003744 0.000000
-62.428449 0.010195 0.033790 0.356181
-62.428449 0.000994 0.002803 0.000000
-62.428449 0.000994 0.002803 0.000000
-62.428449 0.001002 0.002889 0.000000
-62.428449 0.001347 0.002159 0.000000
-62.428449 0.001347 0.002159 0.000000
-62.428449 0.001347 0.002159 0.000000
-62.428449 0.001347 0.002159 0.000000
-62.428449 0.001347 0.002159 0.000000
-62.428449 0.001347 0.002159 0.000000
-62.428449 0.001347 0.002159 0.000000
-62.428449 0.001347 0.002159 0.000000
0.000000 -nan -nan -nan
-62.428449 0.001423 0.002157 0.000000
-62.428449 0.001291 0.002136 0.000000
-62.428449 0.001167 0.001872 0.000000
-62.428449 0.001167 0.001872 0.000000
-62.428449 0.001167 0.001872 0.000000
0.000000 0.007971 -nan 0.000000
0.000000 0.007971 -nan 0.000000
0.000000 0.007971 -nan 0.000000
0.000000 0.007971 -nan 0.000000
0.000000 0.007971 -nan 0.000000
0.000000 -nan -nan -nan
0.000000 0.007971 -nan 0.000000
0.000000 0.007971 -nan 0.000000
0.000000 0.007971 -nan 0.000000
-62.428449 0.132242 0.192389 0.764158
0.000000 0.007971 -nan 0.000000
-62.428449 0.001167 0.001882 0.000000
-62.428449 0.001167 0.001882 0.000000
-62.428449 0.001597 0.004900 0.000000
-62.428449 0.010344 0.034708 0.364286
-62.428449 0.368747 0.005285 0.894489
-62.428449 0.001001 0.002898 0.000000
-62.428449 0.008982 0.024411 0.237577
-62.428449 0.003111 0.058812 0.653601
-62.428449 0.003049 0.042495 0.434489
-62.428449 0.001347 0.002158 0.000000
-62.428449 0.001340 0.002171 0.000000
-62.428449 0.001532 0.002443 0.000000
0.000000 0.000000 -nan 0.966533
-62.428449 0.001701 0.003173 0.000000
-62.428449 0.001056 0.001972 0.000000
-62.428449 0.001056 0.001972 0.000000
-62.428449 0.001439 0.002229 0.000000
-62.428449 0.001439 0.002229 0.000000
-62.428449 0.001505 0.002350 0.000000
-62.428449 0.001756 0.003041 0.000000
-62.428449 0.001145 0.002062 0.000000
-62.428449 0.001772 0.002999 0.000000
-62.428449 0.001916 0.006334 0.000000
-62.428449 0.001916 0.006334 0.000000
-62.428449 0.001916 0.006334 0.000000
-62.428449 0.001772 0.002999 0.000000
-62.428449 0.001757 0.002940 0.000000
-62.428449 0.001137 0.002026 0.000000
-62.428449 0.001479 0.002314 0.000000
-62.428449 0.001479 0.002314 0.000000
-62.428449 0.001534 0.003542 0.000000
-62.428449 0.002354 0.004543 0.000000
-62.428449 0.002355 0.004544 0.000000
-62.428449 0.002386 0.003433 0.000000
-62.428449 0.002386 0.003433 0.000000
-62.428449 0.002386 0.003433 0.000000
-62.428449 0.002386 0.003433 0.000000
-62.428449 0.088419 2.786792 0.750091
-62.428449 0.299158 0.615477 0.780030
-62.428449 0.287697 0.540812 0.768735
-62.428449 0.003183 0.004521 0.000000
-62.428449 0.131947 0.105559 0.520062
-62.428449 0.003217 0.004631 0.000000
-62.428449 0.025197 0.020017 0.154708
-62.428449 0.003153 0.004173 0.000000
-62.428449 0.000698 0.001916 0.000000
-62.428449 0.001090 0.005073 0.000000
-62.428449 0.000865 0.001809 0.000000
-62.428449 0.001052 0.002105 0.000000
-62.428449 0.001052 0.002105 0.000000
-62.428449 0.000463 0.097571 0.000000
-62.428449 0.000783 0.002776 0.000000
-62.428449 0.000730 0.002691 0.000000
-62.428449 0.000800 0.007780 0.000000
-62.428449 0.000812 0.003543 0.000000
-62.428449 0.000769 0.002483 0.000000
-62.428449 0.000764 0.002448 0.000000
-62.428449 0.000764 0.002448 0.000000
-62.428449 0.000764 0.002448 0.000000
-62.428449 0.000764 0.002448 0.000000
-62.428449 0.000764 0.002448 0.000000
-62.428449 0.000926 0.003153 0.000000
-62.428449 0.000926 0.003153 0.000000
-62.428449 0.000926 0.003153 0.000000
-62.428449 0.001101 0.005402 0.000000
-62.428449 0.001101 0.005402 0.000000
-62.428449 0.002702 0.014164 0.000571
-62.428449 0.000744 4.999963 0.000000
-62.428449 0.000698 4.999314 0.000000
-62.428449 0.000730 5.000497 0.000000
-62.428449 0.000736 5.000161 0.000000
-62.428449 0.000735 5.000143 0.000000
-62.428449 0.000771 5.000531 0.000000
-62.428449 0.000768 5.000534 0.000000
-62.428449 0.000768 5.000534 0.000000
-62.428449 0.000818 5.000663 0.000000
-62.428449 0.000857 5.000750 0.000000
-62.428449 0.000747 5.000377 0.000000
-62.428449 0.000839 5.000619 0.000000
-62.428449 0.000899 5.000601 0.000000
-62.428449 0.000899 5.000601 0.000000
-62.428449 0.000899 5.000601 0.000000
-62.428449 0.000819 5.000613 0.000000
-62.428449 0.000732 5.000149 0.000000
-62.428449 0.000816 5.000611 0.000000
-62.428449 0.000820 5.000604 0.000000
-62.428449 0.017026 2.500438 0.161853
-62.428449 0.004797 2.500102 0.000000
-62.428449 0.004198 2.500262 0.000000
-62.428449 0.004319 2.500313 0.000000
-62.428449 0.005278 2.500381 0.000000
-62.428449 0.015877 2.500408 0.068400
-62.428449 0.000805 2.500222 0.000000
-62.428449 0.001500 2.500751 0.000000
-62.428449 0.001443 2.499862 0.000000
-62.428449 0.001451 2.499861 0.000000
-62.428449 0.001451 2.499861 0.000000
-62.428449 0.001725 2.499923 0.000000
-62.428449 0.001722 9.999917 0.000000
-62.428449 0.001725 49.999914 0.000000
-62.428449 0.001725 49.999914 0.000000
-62.428449 0.001512 50.000277 0.000000
-62.428449 0.001433 50.000498 0.000000
-62.428449 0.001973 50.000733 0.000000
-62.428449 0.002567 50.000248 0.000000
-62.428449 0.002131 50.000545 0.000000
-62.428449 0.002131 50.000545 0.000000
-62.428449 0.009897 50.002926 0.008976
-62.428449 0.003733 50.001552 0.000000
-62.428449 0.003597 50.001421 0.000000
-62.428449 0.001380 50.000413 0.000000
-62.428449 0.001380 50.000413 0.000000
-62.428449 0.001380 50.000413 0.000000
-62.428449 0.001380 50.000413 0.000000
-62.428449 0.001380 50.000413 0.000000
-62.428449 0.002131 50.000545 0.000000
-62.428449 0.002131 50.000545 0.000000
-80.428449 0.026832 50.013491 0.503333
-80.428449 0.026832 50.013491 0.503333
-80.428449 0.026832 50.013491 0.503333
-52.890175 0.001430 50.000432 0.000000
-52.890175 0.001430 50.000432 0.000000
