simtime,current_action,reward,load,FM_state,packets_per_frame,QoE,frame_loss,last_mowdg,RTT,lastthreshold,quadraticsum_mowdg
0.52284,0,4.64355e-310,9.8e+07,20,94,4.05326,0,-0.000156111,0.00235194,7.40679e-07,8.10226e-06
0.62284,0,4.64355e-310,9.604e+07,20,92,4.07152,0,-0.000112111,0.00238772,8.74973e-07,1.29273e-06
0.72284,0,3.90905,9.41192e+07,19,91,4.06479,0,-0.000404111,0.00299303,1.13795e-06,3.79884e-06
0.82284,0,3.91361,9.22368e+07,19,89,4.06959,0,-1.71111e-05,0.00260545,1.32291e-06,2.01074e-06
0.92284,1,3.91614,9.22368e+07,19,89,4.07226,0,1.9889e-05,0.00285664,1.46387e-06,1.01928e-06
1.02284,1,3.91338,9.22368e+07,19,89,4.06935,0,0.000204889,0.00201701,1.674e-06,2.10092e-06
1.12284,1,3.91014,9.22368e+07,19,89,4.06594,0,-0.00044411,0.00268239,1.8982e-06,3.36914e-06
1.22284,1,3.91312,9.22368e+07,19,89,4.06908,0,0.000551888,0.00236696,2.08564e-06,2.20202e-06
1.32284,1,3.91642,9.22368e+07,19,89,4.07255,0,-0.000345111,0.00225858,2.24327e-06,9.10063e-07
1.42284,1,3.91637,9.22368e+07,19,89,4.07249,0,0.000333889,0.0023848,2.35458e-06,9.31969e-07
1.52284,1,3.91573,9.22368e+07,19,89,4.07182,0,-2.61111e-05,0.0030441,2.47711e-06,1.18028e-06
1.62284,1,3.9149,9.22368e+07,19,89,4.07095,0,-6.9111e-05,0.00245911,2.6386e-06,1.50557e-06
1.72284,1,3.91248,9.22368e+07,19,89,4.0684,0,-0.000673111,0.00243692,2.86891e-06,2.45226e-06
1.82284,1,3.8999,9.22368e+07,19,89,4.05516,0,-0.00155211,0.00336593,3.2185e-06,7.39248e-06
1.92284,1,3.90105,9.22368e+07,19,89,4.05636,0,3.08878e-05,0.0023238,3.53995e-06,6.94208e-06
2.02284,1,3.90277,9.22368e+07,19,89,4.05818,0,-3.81108e-05,0.00250817,3.80839e-06,6.26398e-06
2.12284,1,3.90961,9.22368e+07,19,89,4.06538,0,0.000560887,0.00251549,4.08994e-06,3.579e-06
2.22284,1,3.91622,9.22368e+07,19,89,4.07234,0,-0.00039711,0.00259602,4.23748e-06,9.89152e-07
2.32284,1,3.91366,9.22368e+07,19,89,4.06964,0,-0.00049211,0.00266542,4.44552e-06,1.99086e-06
2.42284,1,3.905,9.22368e+07,19,89,4.06053,0,-0.00046111,0.00266024,4.6714e-06,5.38746e-06
2.52284,1,3.91114,9.22368e+07,19,89,4.06699,0,-5.11117e-05,0.00202383,4.91216e-06,2.97976e-06
2.62284,1,3.9065,9.22368e+07,19,89,4.0621,0,0.000341887,0.00245862,5.14318e-06,4.79932e-06
2.72284,0,3.91186,9.03921e+07,19,87,4.06774,0,-0.000152111,0.00244736,5.39856e-06,2.69772e-06
2.82284,1,3.91207,9.03921e+07,19,87,4.06797,0,-0.00106711,0.00237615,5.6379e-06,2.61266e-06
2.92284,1,3.91141,9.03921e+07,19,87,4.06727,0,-0.00069411,0.00266953,5.83054e-06,2.87441e-06
3.02284,1,3.91572,9.03921e+07,19,87,4.07181,0,-0.000418111,0.00273603,6.02099e-06,1.18548e-06
3.12284,1,3.91254,9.03921e+07,19,87,4.06846,0,0.000719888,0.0027363,6.204e-06,2.43168e-06
3.22284,1,3.91517,9.03921e+07,19,87,4.07123,0,-0.00077911,0.0030437,6.35035e-06,1.39964e-06
3.32284,0,3.91275,8.85842e+07,18,85,4.07132,0,-0.000115111,0.00241667,6.52282e-06,1.36804e-06
3.42284,0,3.90842,8.68126e+07,18,84,4.06676,0,3.78892e-05,0.00237591,6.72615e-06,3.06599e-06
3.52284,0,3.91401,8.50763e+07,18,82,4.07264,0,7.88889e-05,0.00233629,6.8354e-06,8.76673e-07
3.62284,0,3.90382,8.33748e+07,17,80,4.06454,0,-0.000176111,0.00209707,7.1223e-06,3.88982e-06
3.72284,0,3.8958,8.17073e+07,17,79,4.05611,0,0.000168888,0.00243978,7.4599e-06,7.03765e-06
3.82284,0,3.90604,8.00731e+07,17,77,4.06688,0,-0.000204111,0.00209129,7.67711e-06,3.01894e-06
3.92284,0,3.90381,7.84717e+07,16,76,4.06717,0,-1.2112e-05,0.00295077,7.90192e-06,2.91302e-06
4.02284,0,3.90123,7.69022e+07,16,74,4.06445,0,-0.00046011,0.00228866,8.17003e-06,3.92409e-06
4.12284,0,3.90723,7.53642e+07,16,73,4.07077,0,-3.81117e-05,0.00230945,8.34358e-06,1.57335e-06
4.22284,0,3.90333,7.38569e+07,15,71,4.0693,0,0.000368888,0.00244197,8.51659e-06,2.11909e-06
4.32284,0,3.9052,7.23798e+07,15,70,4.07127,0,-0.000322111,0.00227953,8.72039e-06,1.38727e-06
4.42284,1,3.90616,7.23798e+07,15,70,4.07228,0,0.000306889,0.00285741,8.82438e-06,1.01217e-06
4.52284,0,3.90081,7.09322e+07,15,68,4.06664,0,-0.00067611,0.00210947,9.08699e-06,3.10843e-06
4.62284,0,3.90178,6.95135e+07,14,67,4.0703,0,0.000495889,0.00256141,9.25561e-06,1.74687e-06
4.72284,0,3.90304,6.81233e+07,14,66,4.07162,0,-0.000154111,0.00212485,9.4131e-06,1.25542e-06
4.82284,0,3.89837,6.67608e+07,14,64,4.0667,0,0.000137888,0.00264719,9.65415e-06,3.08478e-06
4.92284,0,3.90333,6.54256e+07,14,63,4.07193,0,-0.000382111,0.00260772,9.77127e-06,1.1401e-06
5.02284,0,3.88089,6.41171e+07,13,62,4.05093,0,-0.000215113,0.0023455,1.01916e-05,8.97375e-06
5.12284,0,3.89683,6.28347e+07,13,61,4.06772,0,-0.000389111,0.00238929,1.04166e-05,2.70843e-06
5.22284,0,3.9004,6.1578e+07,13,59,4.07147,0,-0.00076011,0.00223575,1.05605e-05,1.31052e-06
5.32284,0,3.89469,6.03465e+07,13,58,4.06546,0,0.000758888,0.0025132,1.07511e-05,3.54849e-06
5.42284,0,3.89757,5.91395e+07,12,57,4.07113,0,0.000351889,0.00204568,1.09268e-05,1.43862e-06
5.52284,0,3.89763,5.79568e+07,12,56,4.07119,0,-0.000118111,0.00224872,1.10981e-05,1.41484e-06
5.62284,0,3.89836,5.67976e+07,12,55,4.07196,0,-0.000405111,0.00260376,1.12238e-05,1.12862e-06
5.72284,0,3.88407,5.56617e+07,12,54,4.05691,0,-0.00155311,0.0024882,1.15515e-05,6.73713e-06
5.82284,0,3.89644,5.45484e+07,11,53,4.07257,0,8.08884e-05,0.00190585,1.16609e-05,9.03579e-07
5.92284,0,3.89046,5.34575e+07,11,52,4.06627,0,-0.00049411,0.00206416,1.18632e-05,3.24701e-06
6.02284,0,3.89379,5.23883e+07,11,51,4.06977,0,-0.000117111,0.00160693,1.20521e-05,1.94239e-06
6.12284,1,3.88584,5.23883e+07,11,51,4.06141,0,0.000352887,0.00256056,1.22913e-05,5.05656e-06
6.22284,1,3.89527,5.23883e+07,11,51,4.07134,0,0.000102889,0.00198157,1.24374e-05,1.36103e-06
6.32284,1,3.89111,5.23883e+07,11,51,4.06696,0,1.88885e-05,0.00248018,1.2649e-05,2.99012e-06
6.42284,0,3.89753,5.13405e+07,11,50,4.07372,0,-0.000242111,0.00257443,1.2704e-05,4.76125e-07
6.52284,0,3.89422,5.03137e+07,11,49,4.07024,0,-0.000253111,0.00167246,1.28933e-05,1.77031e-06
6.62284,0,3.88809,4.93075e+07,10,48,4.06641,0,4.08888e-05,0.00212991,1.30685e-05,3.19372e-06
6.72284,0,3.891,4.83213e+07,10,47,4.06948,0,-0.000319111,0.0017592,1.32771e-05,2.05252e-06
6.82284,0,3.88861,4.73549e+07,10,46,4.06696,0,-4.71114e-05,0.00202092,1.35107e-05,2.98951e-06
6.92284,0,3.89011,4.64078e+07,10,45,4.06854,0,-0.000216111,0.00187269,1.36989e-05,2.40344e-06
7.02284,0,3.8921,4.54796e+07,10,44,4.07063,0,0.000191888,0.00164771,1.38437e-05,1.6222e-06
7.12284,0,3.88724,4.457e+07,9,43,4.06815,0,0.00122589,0.0023744,1.39444e-05,2.54602e-06
7.22284,0,3.88955,4.36786e+07,9,42,4.07058,0,0.000252889,0.00271311,1.4134e-05,1.64374e-06
7.32284,0,3.89229,4.28051e+07,9,42,4.07346,0,6.08886e-05,0.00162655,1.42266e-05,5.72404e-07
7.42284,0,3.89327,4.1949e+07,9,41,4.0745,0,0.000291889,0.00216957,1.42679e-05,1.86399e-07
7.52284,0,3.89288,4.111e+07,9,40,4.07408,0,4.38888e-05,0.00237775,1.43389e-05,3.40107e-07
7.62284,0,3.88609,4.02878e+07,9,39,4.06694,0,9.18887e-05,0.00165705,1.44969e-05,2.9983e-06
7.72284,0,3.88899,3.9482e+07,8,38,4.07262,0,-2.81112e-05,0.00190831,1.46077e-05,8.84425e-07
7.82284,0,3.88926,3.86924e+07,8,38,4.07291,0,-0.000400111,0.00172549,1.47066e-05,7.7787e-07
7.92284,0,3.88911,3.79185e+07,8,37,4.07275,0,-1.11119e-06,0.00201342,1.48261e-05,8.35744e-07
8.02284,0,3.89058,3.71602e+07,8,36,4.0743,0,-0.000254111,0.00231577,1.48763e-05,2.60053e-07
8.12284,0,3.89003,3.6417e+07,8,35,4.07371,0,-0.000146111,0.00181866,1.49726e-05,4.78535e-07
8.22284,0,3.89026,3.56886e+07,8,35,4.07395,0,-0.000228111,0.00181378,1.50479e-05,3.88626e-07
8.32284,0,3.886,3.49749e+07,7,34,4.0721,0,-2.01111e-05,0.00160521,1.51506e-05,1.07722e-06
8.42284,0,3.88101,3.42754e+07,7,33,4.06685,0,-0.00081311,0.00230031,1.53621e-05,3.03003e-06
8.52284,1,3.88694,3.42754e+07,7,33,4.0731,0,0.000195888,0.00189697,1.54466e-05,7.0757e-07
8.62284,1,3.88077,3.42754e+07,7,33,4.0666,0,-8.11148e-06,0.00203098,1.56243e-05,3.12526e-06
8.72284,1,3.88244,3.42754e+07,7,33,4.06835,0,-0.00060511,0.00164394,1.57995e-05,2.47051e-06
8.82284,1,3.88751,3.42754e+07,7,33,4.07369,0,-0.000328111,0.00219199,1.58739e-05,4.86428e-07
8.92284,1,3.88655,3.42754e+07,7,33,4.07269,0,-0.000193111,0.00154189,1.59893e-05,8.58554e-07
9.02284,1,3.88636,3.42754e+07,7,33,4.07248,0,5.38889e-05,0.00164861,1.60921e-05,9.34425e-07
